"257",308533,"7 Blacks Road Dunedin"
"258",308534,"1 Gillespie Street Dunedin"
"259",308535,"21 Gillespie Street Dunedin"
"260",308536,"26 Gillespie Street Dunedin"
"261",308537,"24 Gillespie Street Dunedin"
"262",308538,"22 Gillespie Street Dunedin"
"263",308539,"20 Gillespie Street Dunedin"
"264",308540,"18 Gillespie Street Dunedin"
"265",308541,"16 Gillespie Street Dunedin"
"266",308542,"14 Gillespie Street Dunedin"
"267",308543,"12 Gillespie Street Dunedin"
"268",308544,"8 Gillespie Street Dunedin"
"269",308545,"17 Blacks Road Dunedin"
"270",308546,"242 North Road Dunedin"
"271",308547,"238 North Road Dunedin"
"272",308548,"236 North Road Dunedin"
"273",308549,"234 North Road Dunedin"
"274",308550,"7 James Street Dunedin"
"275",308551,"9 James Street Dunedin"
"276",308552,"11 James Street Dunedin"
"277",308553,"15 James Street Dunedin"
"278",308554,"17 James Street Dunedin"
"279",308555,"19 James Street Dunedin"
"280",308556,"21 James Street Dunedin"
"281",308557,"23 James Street Dunedin"
"282",308558,"25 James Street Dunedin"
"283",308559,"27 James Street Dunedin"
"284",308560,"29 James Street Dunedin"
"285",308561,"33 James Street Dunedin"
"286",308562,"31 James Street Dunedin"
"287",308563,"35 James Street Dunedin"
"288",308564,"37 James Street Dunedin"
"289",308565,"45 James Street Dunedin"
"290",308566,"47 James Street Dunedin"
"291",308567,"48 Grey Street Dunedin"
"292",308568,"46 Grey Street Dunedin"
"293",308569,"44 Grey Street Dunedin"
"294",308570,"42 Grey Street Dunedin"
"295",308571,"40 Grey Street Dunedin"
"296",308572,"38 Grey Street Dunedin"
"297",308573,"34 Grey Street Dunedin"
"298",308574,"32 Grey Street Dunedin"
"299",308575,"30 Grey Street Dunedin"
"300",308576,"26 Grey Street Dunedin"
"301",308577,"24 Grey Street Dunedin"
"302",308578,"22 Grey Street Dunedin"
"303",308579,"18 Grey Street Dunedin"
"304",308580,"16 Grey Street Dunedin"
"305",308581,"14 Grey Street Dunedin"
"306",308582,"12 Grey Street Dunedin"
"307",308583,"6 Grey Street Dunedin"
"308",308584,"2 Grey Street Dunedin"
"309",308585,"77 Blacks Road Dunedin"
"310",308586,"79 Blacks Road Dunedin"
"311",308587,"85 Blacks Road Dunedin"
"312",308588,"93 Blacks Road Dunedin"
"313",308589,"87 Evans Street Dunedin"
"314",308590,"89 Evans Street Dunedin"
"315",308591,"91 Evans Street Dunedin"
"316",308592,"93 Evans Street Dunedin"
"317",308593,"97 Evans Street Dunedin"
"318",308594,"99 Evans Street Dunedin"
"319",308595,"103 Evans Street Dunedin"
"320",308596,"107 Evans Street Dunedin"
"321",308597,"109 Evans Street Dunedin"
"322",308598,"111 Evans Street Dunedin"
"323",308599,"115 Evans Street Dunedin"
"324",308600,"117 Evans Street Dunedin"
"325",308601,"121 Evans Street Dunedin"
"326",308602,"123 Evans Street Dunedin"
"327",308603,"125 Evans Street Dunedin"
"328",308604,"127 Evans Street Dunedin"
"329",308605,"129 Evans Street Dunedin"
"330",308606,"131 Evans Street Dunedin"
"331",308607,"27 Gladstone Road Dunedin"
"332",308609,"26 Bank Street Dunedin"
"333",308611,"5 Dolphin Street Dunedin"
"334",308612,"9 Dolphin Street Dunedin"
"335",308613,"1 Glencairn Street Dunedin"
"336",308614,"7 Glencairn Street Dunedin"
"337",308615,"9 Glencairn Street Dunedin"
"338",308616,"11 Glencairn Street Dunedin"
"339",308617,"15 Glencairn Street Dunedin"
"340",308618,"21 Glencairn Street Dunedin"
"341",308619,"23 Glencairn Street Dunedin"
"342",308620,"27 Glencairn Street Dunedin"
"343",308621,"10 Ramsay Street Dunedin"
"344",308622,"68 Bank Street Dunedin"
"345",308623,"64 Bank Street Dunedin"
"346",308624,"62 Bank Street Dunedin"
"347",308625,"60 Bank Street Dunedin"
"348",308626,"58 Bank Street Dunedin"
"349",308627,"56 Bank Street Dunedin"
"350",308629,"50A Bank Street Dunedin"
"351",308630,"50B Bank Street Dunedin"
"352",308631,"50C Bank Street Dunedin"
"353",308632,"50D Bank Street Dunedin"
"354",308633,"50E Bank Street Dunedin"
"355",308634,"46 Bank Street Dunedin"
"356",308636,"34 Bank Street Dunedin"
"357",308637,"31 Gladstone Road Dunedin"
"358",308638,"37 Gladstone Road Dunedin"
"359",308639,"41 Gladstone Road Dunedin"
"360",308640,"43 Gladstone Road Dunedin"
"361",308641,"45 Gladstone Road Dunedin"
"362",308642,"42 Ramsay Street Dunedin"
"363",308643,"40 Ramsay Street Dunedin"
"364",308644,"34 Ramsay Street Dunedin"
"365",308645,"30 Ramsay Street Dunedin"
"366",308646,"26 Ramsay Street Dunedin"
"367",308647,"24 Glencairn Street Dunedin"
"368",308648,"20 Glencairn Street Dunedin"
"369",308649,"16 Glencairn Street Dunedin"
"370",308650,"12 Glencairn Street Dunedin"
