"126",305726,"3 St Leonards Drive Saint Leonards Dunedin 9022"
"127",305727,"2 Huia Street Saint Leonards Dunedin 9022"
"128",305728,"4 Huia Street Saint Leonards Dunedin 9022"
"129",305729,"6 Huia Street Saint Leonards Dunedin 9022"
"130",305732,"N W and V Ensor Family Trust 12 Huia Street Saint Leonards Dunedin 9022"
"131",305733,"14 Huia Street Saint Leonards Dunedin 9022"
"132",305734,"16 Huia Street Saint Leonards Dunedin 9022"
"133",305735,"16A Huia Street Saint Leonards Dunedin 9022"
"134",305736,"Chelton Family Trust 47 Glen Atkinson Street St Heliers Auckland 1071"
"135",305737,"20 Huia Street Saint Leonards Dunedin 9022"
"136",305738,"22 Huia Street Saint Leonards Dunedin 9022"
"137",305739,"24 Huia Street Saint Leonards Dunedin 9022"
"138",305740,"28 Huia Street Saint Leonards Dunedin 9022"
"139",305741,"32 Huia Street Saint Leonards Dunedin 9022"
"140",305742,"32 Huia Street Saint Leonards Dunedin 9022"
"141",305743,"34 Huia Street Saint Leonards Dunedin 9022"
"142",305744,"36 Huia Street Saint Leonards Dunedin 9022"
"143",305745,"33 Kiwi Street Saint Leonards Dunedin 9022"
"144",305746,"PO Box 5923 Moray Place Dunedin 9058"
"145",305747,"21 Kiwi Street Saint Leonards Dunedin 9022"
"146",305748,"19 Kiwi Street Saint Leonards Dunedin 9022"
"147",305749,"Y and M Endeavour New Zealand Trust 722 McPherson Road RD 2K Oamaru 9494"
"148",305750,"15 Kiwi Street Saint Leonards Dunedin 9022"
"149",305751,"13 Kiwi Street Saint Leonards Dunedin 9022"
"150",305752,"11 Kiwi Street Saint Leonards Dunedin 9022"
"151",305754,"7 Kiwi Street Saint Leonards Dunedin 9022"
"152",305755,"5 Kiwi Street Saint Leonards Dunedin 9022"
"153",305756,"1 Huia Street Saint Leonards Dunedin 9022"
"154",305757,"151 Ravensbourne Road Ravensbourne Dunedin 9022"
"155",305758,"McKeay Family Trust 3 Gannet Lane Saint Leonards Dunedin 9022"
"156",305759,"1 Gannet Lane Saint Leonards Dunedin 9022"
"157",305760,"3 Huia Street Saint Leonards Dunedin 9022"
"158",305761,"M and J Hastie Family Trust 5 Huia Street Saint Leonards Dunedin 9022"
"159",305762,"5 Gannet Lane Saint Leonards Dunedin 9022"
"160",305763,"6 Gannet Lane Saint Leonards Dunedin 9022"
"161",305764,"4 Gannet Lane Saint Leonards Dunedin 9022"
"162",305765,"7 Hawk Lane Saint Leonards Dunedin 9022"
"163",305766,"9 Hawk Lane Saint Leonards Dunedin 9022"
"164",305767,"11 Hawk Lane Saint Leonards Dunedin 9022"
"165",305768,"2 Hawk Lane Saint Leonards Dunedin 9022"
"166",305769,"8 Hawk Lane Saint Leonards Dunedin 9022"
"167",305770,"A M and H A Jaket Family Trust 10 Hawk Lane Saint Leonards Dunedin 9022"
"168",305772,"17 Huia Street Saint Leonards Dunedin 9022"
"169",305777,"12 Harrier Road Saint Leonards Dunedin 9022"
"170",305778,"6 Kakapo Street Saint Leonards Dunedin 9022"
"171",305779,"6 Kakapo Street Saint Leonards Dunedin 9022"
"172",305780,"PO Box 5045 Moray Place Dunedin 9058"
"173",305781,"33C Brandon Road Glen Eden Auckland 0602"
"174",305782,"8 Gannet Lane Saint Leonards Dunedin 9022"
"175",305783,"8 Finch Street Saint Leonards Dunedin 9022"
"176",305784,"10 Finch Street Saint Leonards Dunedin 9022"
"177",305785,"16 Finch Street Saint Leonards Dunedin 9022"
"178",305786,"18 Finch Street Saint Leonards Dunedin 9022"
"179",305787,"14 Finch Street Saint Leonards Dunedin 9022"
"180",305788,"29 Finch Street Saint Leonards Dunedin 9022"
"181",305789,"PO Box 5045 Moray Place Dunedin 9058"
"182",305790,"PO Box 5045 Moray Place Dunedin 9058"
"183",305791,"1 Eagle Street Dunedin 9022"
"184",305792,"Pullar Family Trust 2 Kea Street Saint Leonards Dunedin 9022"
"185",305793,"9 Eagle Street Dunedin 9022"
"186",305794,"4 Kea Street Saint Leonards Dunedin 9022"
"187",305795,"D N Humphrey Family Trust 15 Eagle Street Dunedin 9022"
"188",305796,"8 Hawk Lane Saint Leonards Dunedin 9022"
"189",305798,"9 Beaumont Street Oceanview Timaru 7910"
"190",305799,"Logan Family Trust 1 Finch Street Saint Leonards Dunedin 9022"
"191",305800,"4 Eagle Street Dunedin 9022"
"192",305801,"PO Box 1100 Dunedin 9054"
"193",305802,"8 Eagle Street Dunedin 9022"
"194",305803,"10 Eagle Street Dunedin 9022"
"195",305804,"14 Eagle Street Dunedin 9022"
"196",305805,"19 Finch Street Saint Leonards Dunedin 9022"
"197",305806,"17 Finch Street Saint Leonards Dunedin 9022"
"198",305807,"15 Finch Street Saint Leonards Dunedin 9022"
"199",305808,"Glenavy Trust 9 Finch Street Saint Leonards Dunedin 9022"
"200",305809,"1075 George Street Dunedin 9016"
"201",305810,"5 Finch Street Saint Leonards Dunedin 9022"
"202",305811,"Christine Alice Brien Trust 3 Finch Street St Leonards Dunedin 9022"
"203",305812,NA
"204",305813,"24 Burkes Drive Ravensbourne Dunedin 9022"
"205",305814,"44 Hinau Street Woburn Lower Hutt 5011"
"206",305817,"16 Burkes Drive Ravensbourne Dunedin 9022"
"207",305818,"3 Kea Street Saint Leonards Dunedin 9022"
"208",305819,"7 Kea Street Saint Leonards Dunedin 9022"
"209",305820,NA
"210",305821,"8 Burkes Drive Ravensbourne Dunedin 9022"
"211",305822,"25 Ventry Street Alexandra 9320"
"212",305823,"1 Seddon Street Ravensbourne Dunedin 9022"
"213",305824,"2 Burkes Drive Ravensbourne Dunedin 9022"
"214",305825,"1 Seddon Street Ravensbourne Dunedin 9022"
"215",305826,"6 Argo Place Casebrook Christchurch 8051"
"216",305827,"351 Ravensbourne Road Ravensbourne Dunedin 9022"
"217",305831,"349 Ravensbourne Road Ravensbourne Dunedin 9022"
"218",305832,"10 Carr Street Dunedin 9010"
"219",305833,"345 Ravensbourne Road Ravensbourne Dunedin 9022"
