"31998",342124,"22 Argyle Street Mosgiel","22 Argyle Street Mosgiel 9024", "22 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.88474120000001, 170.3493287
"31999",342125,"24 Argyle Street Mosgiel","24 Argyle Street Mosgiel 9024", "24 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8846275, 170.3491913
"32000",342126,"47 McDonald Street Mosgiel","47 McDonald Street Mosgiel 9024", "47 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8847731, 170.3486037
"32001",342127,"26 Argyle Street Mosgiel","26 Argyle Street Mosgiel 9024", "26 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8844577, 170.3491831
"32002",342129,"30A Argyle Street Mosgiel","Seeque and Lawrence Family Trusts 30A Argyle Street Mosgiel 9024", "30A Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8841109, 170.349014
"32003",342130,"30 Argyle Street Mosgiel","30 Argyle Street Mosgiel 9024", "30 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8842082, 170.3485765
"32004",342131,"35 McDonald Street Mosgiel","100 Gordon Road Mosgiel 9024", "35 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8842149, 170.3475464
"32005",342132,"37 McDonald Street Mosgiel","37 McDonald Street Mosgiel 9024", "37 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8843497, 170.3476406
"32006",342133,"39 McDonald Street Mosgiel","39 McDonald Street Mosgiel 9024", "39 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8844988, 170.3476294
"32007",342134,"41 McDonald Street Mosgiel","C/O Counter Delivery Middlemarch PostCentre Middlemarch 9067", "41 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8846486, 170.3478119
"32008",342135,"43 McDonald Street Mosgiel","43 McDonald Street Mosgiel 9024", "43 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8847673, 170.3478434
"32009",342136,"49 McDonald Street Mosgiel","128 Wingatui Road Mosgiel 9024", "49 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.88492189999999, 170.3479949
"32010",342137,"45A McDonald Street Mosgiel","45A McDonald Street Mosgiel 9024", "45A McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8846445, 170.3483294
"32011",342138,"45B McDonald Street Mosgiel","76 Waipori Falls Road RD 1 Outram 9073", "45B McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8846015, 170.3484954
"32012",342139,"45C McDonald Street Mosgiel","45C McDonald Street Mosgiel 9024", "45C McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.884571, 170.3486036
"32013",342140,"45D McDonald Street Mosgiel","PO Box 905 Dunedin 9054", "45D McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8845357, 170.3487271
"32014",342141,"51 McDonald Street Mosgiel","51 McDonald Street Mosgiel 9024", "51 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8850319, 170.3481325
"32015",342142,"53 McDonald Street Mosgiel","J P O&#39;Connell Family Trust 53 McDonald Street Mosgiel 9024", "53 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8848906, 170.3487462
"32016",342143,"55 McDonald Street Mosgiel","55 McDonald Street Mosgiel 9024", "55 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.88503739999999, 170.3488769
"32017",342144,"57 McDonald Street Mosgiel","57 McDonald Street Mosgiel 9024", "57 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.88521660000001, 170.3480508
"32018",342145,"59 McDonald Street Mosgiel","59 McDonald Street Mosgiel 9024", "59 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.88534749999999, 170.3482237
"32019",342146,"61 McDonald Street Mosgiel","61 McDonald Street Mosgiel 9024", "61 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8854888, 170.3482754
"32020",342147,"63 McDonald Street Mosgiel","63 McDonald Street Mosgiel 9024", "63 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8856004, 170.3483179
"32021",342148,"69 McDonald Street Mosgiel","69 McDonald Street Mosgiel 9024", "69 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8859724, 170.3486285
"32022",342149,"71 McDonald Street Mosgiel","71 McDonald Street Mosgiel 9024", "71 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8860987, 170.3486703
"32023",342150,"73 McDonald Street Mosgiel","73 McDonald Street Mosgiel 9024", "73 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8862252, 170.3487173
"32024",342151,"24 Burns Street Mosgiel","55 Friends Hill Road RD 2 Mosgiel 9092", "24 Burns St, Fairfield, Mosgiel 9024, New Zealand", -45.8858651, 170.3492777
"32025",342152,"20A Burns Street Mosgiel","55 Friends Hill Road RD 2 Mosgiel 9092", "20A Burns St, Fairfield, Mosgiel 9024, New Zealand", -45.8860228, 170.3494078
"32026",342153,"20 Burns Street Mosgiel","20 Burns Street Mosgiel 9024", "20 Burns St, Fairfield, Mosgiel 9024, New Zealand", -45.8862408, 170.3494243
"32027",342154,"18 Burns Street Mosgiel","18 Burns Street Mosgiel 9024", "18 Burns St, Fairfield, Mosgiel 9024, New Zealand", -45.8861757, 170.3496491
"32028",342155,"72 McDonald Street Mosgiel","115 Lakeview Terrace RD 2 Wanaka 9382", "72 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8862598, 170.3481369
"32029",342156,"70 McDonald Street Mosgiel","70 McDonald Street Mosgiel 9024", "70 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8861077, 170.3480222
"32030",342157,"68 McDonald Street Mosgiel","17 Balmoral Avenue Mosgiel 9024", "68 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8860012, 170.3479633
"32031",342158,"66 McDonald Street Mosgiel","66 McDonald Street Mosgiel 9024", "66 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8858823, 170.3478877
"32032",342159,"64 McDonald Street Mosgiel","PO Box 317 Mosgiel 9053", "64 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8857436, 170.3478361
"32033",342160,"62 McDonald Street Mosgiel","S and P Wilson Family Trust 62 McDonald Street Mosgiel 9024", "62 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8856122, 170.3477436
"32034",342161,"60 McDonald Street Mosgiel","60 McDonald Street Mosgiel 9024", "60 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8855256, 170.3476665
"32035",342162,"58 McDonald Street Mosgiel","166 Factory Road Mosgiel 9024", "58 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.885386, 170.3475744
"32036",342163,"56 McDonald Street Mosgiel","D M and F R Fulton Family Trust 56 McDonald Street Mosgiel 9024", "56 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8852517, 170.3475342
"32037",342164,"54 McDonald Street Mosgiel","McColl Family Trust 54 McDonald Street Mosgiel 9024", "54 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8851118, 170.3474247
"32038",342165,"52 McDonald Street Mosgiel","52 McDonald Street Mosgiel 9024", "52 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8849898, 170.3473955
"32039",342166,"50 McDonald Street Mosgiel","50 McDonald Street Mosgiel 9024", "50 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8848615, 170.3472624
"32040",342167,"48 McDonald Street Mosgiel","Janet Gradon Family Trust 48 McDonald Street Mosgiel 9024", "48 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8847112, 170.3472287
"32041",342168,"46 McDonald Street Mosgiel","46 McDonald Street Mosgiel 9024", "46 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8845994, 170.3471121
"32042",342169,"44 McDonald Street Mosgiel","44 McDonald Street Mosgiel 9024", "44 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8844599, 170.3470201
"32043",342170,"42 McDonald Street Mosgiel","42 McDonald Street Mosgiel 9024", "42 McDonald St, Fairfield, Mosgiel 9024, New Zealand", -45.8843371, 170.3469561
"32044",342171,"37 Shaw Street Mosgiel","Ron and Wendy Walker Family Trust 37 Shaw Street Mosgiel 9024", "37 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.8842574, 170.3462765
"32045",342172,"39 Shaw Street Mosgiel","Outram Family Trust 39 Shaw Street Mosgiel 9024", "39 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.8843792, 170.3462999
"32046",342173,"41 Shaw Street Mosgiel","41 Shaw Street Mosgiel 9024", "41 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.8845143, 170.3463749
"32047",342174,"43 Shaw Street Mosgiel","43 Shaw Street Mosgiel 9024", "43 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.8846084, 170.3464227
"32048",342175,"45 Shaw Street Mosgiel","45 Shaw Street Mosgiel 9024", "45 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.8847569, 170.3465549
"32049",342176,"47 Shaw Street Mosgiel","47 Shaw Street Mosgiel 9024", "47 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.8848797, 170.3466246
"32050",342177,"49 Shaw Street Mosgiel","49 Shaw Street Mosgiel 9024", "49 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.8850343, 170.3466639
"32051",342178,"51 Shaw Street Mosgiel","51 Shaw Street Mosgiel 9024", "51 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.8851535, 170.3467511
"32052",342179,"57 Shaw Street Mosgiel","57 Shaw Street Mosgiel 9024", "57 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.8855344, 170.3469712
"32053",342180,"59 Shaw Street Mosgiel","59 Shaw Street Mosgiel 9024", "59 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.88567339999999, 170.3470402
"32054",342181,"61 Shaw Street Mosgiel","61 Shaw Street Mosgiel 9024", "61 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.8858164, 170.3471032
"32055",342182,"63 Shaw Street Mosgiel","63 Shaw Street Mosgiel 9024", "63 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.8859237, 170.3472025
"32056",342183,"65 Shaw Street Mosgiel","65 Shaw Street Mosgiel 9024", "65 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.8860351, 170.3473017
"32057",342184,"67 Shaw Street Mosgiel","67 Shaw Street Mosgiel 9024", "67 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.8861699, 170.347365
"32058",342185,"69 Shaw Street Mosgiel","312B Thames Highway Oamaru 9400", "69 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.88629239999999, 170.3473277
"32059",342186,"71 Shaw Street Mosgiel","71 Shaw Street Mosgiel 9024", "71 Shaw St, Fairfield, Mosgiel 9024, New Zealand", -45.886427, 170.3474692
