"7551",313548,"26 Hereford Street Dunedin","16 Ensor Street Burnside Dunedin 9011"
"7552",313549,"24A Hereford Street Dunedin","24A Hereford Street Dunedin 9010"
"7553",313550,"24 Hereford Street Dunedin","24 Hereford Street Dunedin 9010"
"7554",313551,"18 Hereford Street Dunedin","Glendonwyn Family Trust 18 Hereford Street Dunedin 9010"
"7555",313552,"28 Ann Street Dunedin","28 Ann Street Dunedin 9010"
"7556",313553,"24 Ann Street Dunedin","PO Box 1579 Whangarei 0140"
"7557",313554,"20 Ann Street Dunedin","PO Box 1144 Dunedin 9054"
"7558",313557,"12 Ann Street Dunedin","12 Ann Street Dunedin 9010"
"7559",313558,"10 Ann Street Dunedin","PO Box 238 Waitara 4346"
"7560",313559,"4 Ann Street Dunedin","4 Ann Street Dunedin 9010"
"7561",313560,"6 Ann Street Dunedin","2 Ann Street Dunedin 9010"
"7562",313561,"2 Ann Street Dunedin","2 Ann Street Dunedin 9010"
"7563",313563,"10 Oates Street Dunedin","10 Oates Street Dunedin 9010"
"7564",313564,"14 Oates Street Dunedin","14 Oates Street Dunedin 9010"
"7565",313565,"9 Kaikorai Valley Road Dunedin","18/36 Australia Avenue Broad Beach 4218 AUSTRALIA"
"7566",313566,"11 Kaikorai Valley Road Dunedin","11 Kaikorai Valley Road Dunedin 9010"
"7567",313567,"13 Kaikorai Valley Road Dunedin","55 Manchester Street Dunedin 9011"
"7568",313569,"40 Hereford Street Dunedin","40 Hereford Street Dunedin 9010"
"7569",313570,"36 Hereford Street Dunedin","36 Hereford Street Dunedin 9010"
"7570",313571,"16 Oates Street Dunedin","S J A and J A Varcoe Family Trust 16 Oates Street Dunedin 9010"
"7571",313572,"3 Hereford Street Dunedin","E N Iversen Family Trust 3 Hereford Street Dunedin 9010"
"7572",313573,"5 Hereford Street Dunedin","5 Hereford Street Dunedin 9010"
"7573",313574,"7 Hereford Street Dunedin","7 Hereford Street Dunedin 9010"
"7574",313575,"9 Hereford Street Dunedin","9 Hereford Street Dunedin 9010"
"7575",313576,"11 Hereford Street Dunedin",NA
"7576",313577,"37 Ann Street Dunedin","37 Ann Street Dunedin 9010"
"7577",313578,"39 Ann Street Dunedin","18 Jubilee Street Dunedin 9011"
"7578",313579,"41 Ann Street Dunedin","41 Ann Street Dunedin 9010"
"7579",313580,"45 Ann Street Dunedin","45 Ann Street Dunedin 9010"
"7580",313581,"47 Ann Street Dunedin","PO Box 114 Dunedin 9054"
"7581",313582,"49 Ann Street Dunedin","49 Ann Street Dunedin 9010"
"7582",313583,"51 Ann Street Dunedin","51 Ann Street Dunedin 9010"
"7583",313584,"53 Ann Street Dunedin","53 Ann Street Dunedin 9010"
"7584",313585,"55 Ann Street Dunedin","55 Ann Street Dunedin 9010"
"7585",313586,"59 Ann Street Dunedin","59 Ann Street Dunedin 9010"
"7586",313587,"63 Ann Street Dunedin","63 Ann Street Dunedin 9010"
"7587",313588,"67 Ann Street Dunedin","67 Ann Street Dunedin 9010"
"7588",313589,"69 Ann Street Dunedin","10 Rainbow Drive Atawhai Nelson 7010"
"7589",313590,"71 Ann Street Dunedin","71 Ann Street Dunedin 9010"
"7590",313591,"73 Ann Street Dunedin","73 Ann Street Dunedin 9010"
"7591",313592,"75 Ann Street Dunedin","75 Ann Street Dunedin 9010"
"7592",313593,"77 Ann Street Dunedin","77 Ann Street Dunedin 9010"
"7593",313594,"79 Ann Street Dunedin","79 Ann Street Dunedin 9010"
"7594",313595,"81 Ann Street Dunedin","81 Ann Street Dunedin 9010"
"7595",313596,"83 Ann Street Dunedin","83 Ann Street Dunedin 9010"
"7596",313597,"87 Ann Street Dunedin","87 Ann Street Dunedin 9010"
"7597",313598,"8 Falcon Street Dunedin","8 Falcon Street Dunedin 9010"
"7598",313599,"6 Falcon Street Dunedin","6 Falcon Street Dunedin 9010"
"7599",313600,"4 Falcon Street Dunedin","Private Bag 429 Picton 7250"
"7600",313601,"149 Highgate Dunedin","9 Oakland Street Dunedin 9013"
